Trade Date,first,second,days_left,w1,w2,ret
2008-01-02,23.859999999999999,24.489999999999998,10,90.909090909090907,9.0909090909090917,
2008-01-03,23.420000000000002,24.52,9,81.818181818181813,18.181818181818183,-0.016610285453646956
2008-01-04,24.68,25.300000000000001,8,72.727272727272734,27.272727272727273,0.0496497575244399
2008-01-07,24.120000000000001,24.809999999999999,7,63.636363636363633,36.363636363636367,-0.0217677617619082
2008-01-08,25.539999999999999,25.899999999999999,6,54.545454545454547,45.454545454545453,0.05334228588481049
2008-01-09,24.890000000000001,25.780000000000001,5,45.454545454545453,54.545454545454547,-0.01591568225224571
2008-01-10,24.07,24.949999999999999,4,36.363636363636367,63.636363636363633,-0.03252964568480632
2008-01-11,24.960000000000001,26.149999999999999,3,27.272727272727273,72.727272727272734,0.044144243900638536
2008-01-14,23.359999999999999,25.100000000000001,2,18.181818181818183,81.818181818181813,-0.046465784286116585
2008-01-15,24.039999999999999,25.239999999999998,1,9.0909090909090917,90.909090909090907,0.009610446775731862
2008-01-16,24.18,24.989999999999998,0,0.0,100.0,-0.008537114744610053
2008-01-17,26.969999999999999,26.620000000000001,21,95.454545454545453,4.5454545454545459,0.07923169267707086
2008-01-18,27.239999999999998,26.710000000000001,20,90.909090909090907,9.0909090909090917,0.009713485893522611
2008-01-22,27.73,26.379999999999999,19,86.36363636363636,13.636363636363637,0.01527866002474032
2008-01-23,26.399999999999999,25.300000000000001,18,81.818181818181813,18.181818181818183,-0.047045428293262415
2008-01-24,26.43,25.34,17,77.272727272727266,22.727272727272727,0.001214434420541366
2008-01-25,26.75,25.800000000000001,16,72.727272727272734,27.272727272727273,0.0134372667141196
2008-01-28,26.16,25.370000000000001,15,68.181818181818187,31.818181818181817,-0.02062457103637605
2008-01-29,26.25,25.25,14,63.636363636363633,36.363636363636367,0.0008947525395182065
2008-01-30,26.140000000000001,25.559999999999999,13,59.090909090909093,40.909090909090907,0.001650570676031693
2008-01-31,25.640000000000001,25.309999999999999,12,54.545454545454547,45.454545454545453,-0.01535464851016033
2008-02-01,24.949999999999999,24.66,11,50.0,50.0,-0.026356146795534774
2008-02-04,25.809999999999999,25.559999999999999,10,45.454545454545453,54.545454545454547,0.0354767184035476
2008-02-05,27.390000000000001,26.920000000000002,9,40.909090909090907,59.090909090909093,0.05686767465741327
2008-02-06,28.190000000000001,27.600000000000001,8,36.363636363636367,63.636363636363633,0.026891545257934135
2008-02-07,27.620000000000001,27.25,7,31.818181818181817,68.181818181818187,-0.015459537194404516
2008-02-08,28.390000000000001,27.629999999999999,6,27.272727272727273,72.727272727272734,0.018419173213306994
2008-02-11,27.879999999999999,26.969999999999999,5,22.727272727272727,77.272727272727266,-0.02223963946311358
2008-02-12,27.059999999999999,26.719999999999999,4,18.181818181818183,81.818181818181813,-0.013965779658465571
2008-02-13,26.0,25.809999999999999,3,13.636363636363637,86.36363636363636,-0.03499660556687045
2008-02-14,26.280000000000001,26.18,2,9.0909090909090917,90.909090909090907,0.013846126779148094
2008-02-15,26.07,25.93,1,4.5454545454545459,95.454545454545453,-0.009407109136351122
2008-02-19,25.510000000000002,25.609999999999999,0,0.0,100.0,-0.012758499824745861
2008-02-20,25.449999999999999,25.41,20,95.238095238095241,4.7619047619047619,-0.006247559547051917
2008-02-21,25.420000000000002,25.449999999999999,19,90.476190476190482,9.5238095238095237,-0.0010478845829979822
2008-02-22,24.870000000000001,24.829999999999998,18,85.714285714285708,14.285714285714286,-0.021896306286056877
2008-02-25,24.170000000000002,24.34,17,80.952380952380949,19.047619047619047,-0.026946279804653805
2008-02-26,23.710000000000001,24.18,16,76.19047619047619,23.80952380952381,-0.016645351696999655
2008-02-27,23.879999999999999,24.449999999999999,15,71.428571428571431,28.571428571428573,0.008135769399912007
2008-02-28,24.579999999999998,25.100000000000001,14,66.666666666666671,33.333333333333336,0.028520499108734443
2008-02-29,26.100000000000001,26.359999999999999,13,61.904761904761905,38.095238095238095,0.05790465930514421
2008-03-03,26.16,26.25,12,57.142857142857146,42.857142857142854,-0.00018175869715364446
2008-03-04,25.719999999999999,25.789999999999999,11,52.38095238095238,47.61904761904762,-0.017121980478761234
2008-03-05,24.829999999999998,25.379999999999999,10,47.61904761904762,52.38095238095238,-0.02568322177434257
2008-03-06,26.760000000000002,26.989999999999998,9,42.857142857142854,57.142857142857146,0.07016379767953285
2008-03-07,26.91,26.870000000000001,8,38.095238095238095,61.904761904761905,-0.00015937101572449652
2008-03-10,27.75,27.600000000000001,7,33.333333333333336,66.666666666666671,0.028711100090331065
2008-03-11,26.109999999999999,26.09,6,28.571428571428573,71.428571428571431,-0.05617842073538282
2008-03-12,26.68,26.920000000000002,5,23.80952380952381,76.19047619047619,0.02895932555975267
2008-03-13,26.75,27.02,4,19.047619047619047,80.952380952380949,0.003456711338013063
2008-03-14,29.030000000000001,28.52,3,14.285714285714286,85.714285714285708,0.06112935692340282
2008-03-17,30.57,28.539999999999999,2,9.5238095238095237,90.476190476190482,0.008293779665251133
2008-03-18,25.949999999999999,26.199999999999999,1,4.7619047619047619,95.238095238095241,-0.08899569108385819
2008-03-19,25.670000000000002,27.41,0,0.0,100.0,0.043494863169379006
2008-03-20,27.0,26.079999999999998,18,94.736842105263165,5.2631578947368425,-0.014958044509303159
2008-03-24,26.350000000000001,25.710000000000001,17,89.473684210526315,10.526315789473685,-0.023570535853772667
2008-03-25,26.32,25.870000000000001,16,84.21052631578948,15.789473684210526,-0.0003804794040490611
2008-03-26,26.949999999999999,26.32,15,78.94736842105263,21.05263157894737,0.02291821225913826
2008-03-27,26.640000000000001,26.460000000000001,14,73.684210526315795,26.315789473684209,-0.008027005279375166
2008-03-28,26.600000000000001,26.59,13,68.421052631578945,31.578947368421051,0.00017812611328826833
2008-03-31,26.010000000000002,26.300000000000001,12,63.157894736842103,36.842105263157897,-0.018621126370364505
2008-04-01,24.0,24.850000000000001,11,57.89473684210526,42.10526315789474,-0.06906210954818426
2008-04-02,24.640000000000001,25.030000000000001,10,52.631578947368418,47.368421052631582,0.018323249783923856
2008-04-03,24.27,24.940000000000001,9,47.368421052631582,52.631578947368418,-0.00956176988148505
2008-04-04,23.960000000000001,24.949999999999999,8,42.10526315789474,57.89473684210526,-0.005749951905606565
2008-04-07,23.010000000000002,24.260000000000002,7,36.842105263157897,63.157894736842103,-0.03258747559693642
2008-04-08,23.02,24.07,6,31.578947368421051,68.421052631578945,-0.004887326123974578
2008-04-09,23.629999999999999,24.66,5,26.315789473684209,73.684210526315795,0.025120280247433513
2008-04-10,22.850000000000001,24.329999999999998,4,21.05263157894737,78.94736842105263,-0.018386240531733544
2008-04-11,23.91,24.98,3,15.789473684210526,84.21052631578948,0.030656294510792215
2008-04-14,23.84,24.879999999999999,2,10.526315789473685,89.473684210526315,-0.0038395451942048187
2008-04-15,22.870000000000001,24.41,1,5.2631578947368425,94.736842105263165,-0.02109892911779676
2008-04-16,21.780000000000001,22.960000000000001,0,0.0,100.0,-0.05882098431584637
2008-04-17,23.030000000000001,23.550000000000001,24,96.0,4.0,0.0030487804878047697
2008-04-18,22.199999999999999,22.84,23,92.0,8.0,-0.035799191351276294
2008-04-21,21.920000000000002,22.43,22,88.0,12.0,-0.01305098152009776
2008-04-22,22.100000000000001,22.620000000000001,21,84.0,16.0,0.008243408003203001
2008-04-23,21.859999999999999,22.41,20,80.0,20.0,-0.010602618197554925
2008-04-24,21.23,22.050000000000001,19,76.0,24.0,-0.026217569412835595
2008-04-25,20.690000000000001,21.52,18,72.0,28.0,-0.025090074112793403
2008-04-28,20.539999999999999,21.329999999999998,17,68.0,32.0,-0.007704661033151039
2008-04-29,20.809999999999999,21.59,16,64.0,36.0,0.012831364703166592
2008-04-30,21.239999999999998,22.140000000000001,15,60.0,40.0,0.02243632294649789
