CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
12/12/2014,K (May 15),19.80,20.30,19.45,19.95,20.00,0.15,9374,69,17913
12/15/2014,K (May 15),20.10,20.20,19.31,19.87,19.90,-0.10,11522,84,16950
12/16/2014,K (May 15),19.85,20.48,19.14,20.35,20.40,0.50,9923,0,17651
12/17/2014,K (May 15),20.45,20.47,18.80,19.00,19.00,-1.40,11406,0,17813
12/18/2014,K (May 15),18.95,18.95,18.35,18.40,18.40,-0.60,10267,0,18190
12/19/2014,K (May 15),18.40,18.54,18.10,18.17,18.15,-0.25,9747,0,18617
12/22/2014,K (May 15),18.16,18.25,17.85,18.00,18.0250,-0.12,4327,0,18420
12/23/2014,K (May 15),17.99,18.30,17.83,18.05,18.0750,0.05,4654,0,19216
12/24/2014,K (May 15),18.05,18.30,17.98,18.22,18.2250,0.15,3093,0,19643
12/26/2014,K (May 15),18.19,18.25,17.90,18.00,17.9750,-0.25,2467,0,19604
12/29/2014,K (May 15),18.00,18.25,17.95,18.02,18.0250,0.05,4147,0,18976
12/30/2014,K (May 15),17.95,18.45,17.95,18.15,18.1750,0.15,3899,0,18663
12/31/2014,K (May 15),18.15,19.14,18.00,18.85,18.8750,0.70,4904,0,18472
01/02/2015,K (May 15),18.65,19.41,18.54,19.05,19.0750,0.20,8093,0,18139
01/05/2015,K (May 15),19.10,19.94,18.99,19.76,19.7750,0.70,9880,0,17569
01/06/2015,K (May 15),19.76,20.33,19.53,19.90,19.9500,0.18,9752,0,17791
01/07/2015,K (May 15),19.93,19.93,19.23,19.33,19.3250,-0.62,5907,0,17471
01/08/2015,K (May 15),19.33,19.33,18.45,18.50,18.5250,-0.80,5320,83,17241
01/09/2015,K (May 15),18.55,19.26,18.40,19.25,19.2750,0.75,7825,0,17583
01/12/2015,K (May 15),19.23,19.88,18.95,19.60,19.6250,0.35,7444,0,17747
01/13/2015,K (May 15),19.60,20.10,19.15,19.80,19.8250,0.20,10021,0,17811
01/14/2015,K (May 15),19.81,20.36,19.75,19.80,19.8250,0.00,12695,0,18145
01/15/2015,K (May 15),19.77,20.35,19.50,20.33,20.3250,0.50,6967,0,18879
01/16/2015,K (May 15),20.30,20.75,19.96,20.20,20.1750,-0.15,10355,0,19354
01/20/2015,K (May 15),20.25,20.60,19.73,20.20,20.2250,0.05,11600,0,19683
01/21/2015,K (May 15),20.16,20.54,19.46,19.50,19.4750,-0.75,12671,0,19974
01/22/2015,K (May 15),19.50,19.73,18.80,18.80,18.8250,-0.65,12797,0,19794
01/23/2015,K (May 15),18.85,19.22,18.67,19.10,19.1250,0.30,9346,23,19570
01/26/2015,K (May 15),19.40,19.58,18.50,18.50,18.5250,-0.60,10591,0,17774
01/27/2015,K (May 15),18.55,19.32,18.49,18.85,18.8250,0.30,11722,0,17165
01/28/2015,K (May 15),18.85,20.45,18.63,20.40,20.4250,1.60,10990,0,17269
01/29/2015,K (May 15),20.35,20.41,19.34,19.35,19.3750,-1.05,12151,0,17723
01/30/2015,K (May 15),19.40,20.65,19.32,20.35,20.3250,0.95,16136,0,19074
02/02/2015,K (May 15),20.45,20.79,19.80,19.85,19.8750,-0.45,16198,0,18807
02/03/2015,K (May 15),19.93,20.13,19.55,19.55,19.5750,-0.30,11980,0,18404
02/04/2015,K (May 15),19.58,20.17,19.47,20.15,20.1250,0.55,11117,0,18304
02/05/2015,K (May 15),20.19,20.30,19.52,19.63,19.6500,-0.48,8312,0,18717
02/06/2015,K (May 15),19.61,20.43,19.28,19.85,19.9000,0.25,14559,0,20035
02/09/2015,K (May 15),20.10,20.53,19.98,20.30,20.2750,0.38,9248,0,21089
02/10/2015,K (May 15),20.30,20.40,19.75,19.75,19.7750,-0.50,6973,0,20600
02/11/2015,K (May 15),19.70,20.14,19.68,19.70,19.6750,-0.10,7692,0,20949
02/12/2015,K (May 15),19.70,19.90,19.00,19.15,19.1000,-0.58,12323,0,20788
02/13/2015,K (May 15),19.10,19.22,18.75,18.85,18.8750,-0.22,11708,0,20119
